,feature,value,model,dataset
14142,ENSG00000198734,0.6658961071580881,cBoost,pData_Imputed
5037,ENSG00000125731,0.6586994140063499,cBoost,pData_Imputed
2213,ENSG00000101146,0.6519111437356734,cBoost,pData_Imputed
13707,ENSG00000196482,0.6458050122895068,cBoost,pData_Imputed
12364,ENSG00000180016,0.6328589626797392,cBoost,pData_Imputed
4970,ENSG00000125144,0.6196324182022862,cBoost,pData_Imputed
2626,ENSG00000104432,0.6191554912822336,cBoost,pData_Imputed
5365,ENSG00000129071,0.6189831113137325,cBoost,pData_Imputed
1593,ENSG00000087586,0.6164679280888277,cBoost,pData_Imputed
13790,ENSG00000196924,0.611790181312264,cBoost,pData_Imputed
6918,ENSG00000139874,0.6060625459270401,cBoost,pData_Imputed
7881,ENSG00000147883,0.6029039107308295,cBoost,pData_Imputed
1617,ENSG00000088766,0.5839355979110673,cBoost,pData_Imputed
2627,ENSG00000104435,0.5813942276772447,cBoost,pData_Imputed
5875,ENSG00000133107,0.5751818787367831,cBoost,pData_Imputed
531,ENSG00000042753,0.5713783127745479,cBoost,pData_Imputed
4603,ENSG00000121621,0.5656078855463702,cBoost,pData_Imputed
1180,ENSG00000075218,0.5640996918576967,cBoost,pData_Imputed
969,ENSG00000068976,0.548905649490867,cBoost,pData_Imputed
1621,ENSG00000088826,0.5250908037441319,cBoost,pData_Imputed
12467,ENSG00000180998,0.5219068468375998,cBoost,pData_Imputed
5181,ENSG00000126878,0.5197413215071376,cBoost,pData_Imputed
13608,ENSG00000189376,0.5146110766935227,cBoost,pData_Imputed
9226,ENSG00000161800,0.5070945580426064,cBoost,pData_Imputed
2666,ENSG00000104824,0.49780222030434457,cBoost,pData_Imputed
6431,ENSG00000136826,0.48608802346796937,cBoost,pData_Imputed
442,ENSG00000031081,0.48491398868749047,cBoost,pData_Imputed
11380,ENSG00000172345,0.4837549040642953,cBoost,pData_Imputed
1889,ENSG00000099250,0.4800285999382539,cBoost,pData_Imputed
12314,ENSG00000179593,0.4785523606963409,cBoost,pData_Imputed
436,ENSG00000029993,0.461936820209544,cBoost,pData_Imputed
3611,ENSG00000112406,0.4519281603303244,cBoost,pData_Imputed
12029,ENSG00000177202,0.45047072160191487,cBoost,pData_Imputed
8252,ENSG00000151929,0.4261449863282984,cBoost,pData_Imputed
2945,ENSG00000106459,0.4218606736991861,cBoost,pData_Imputed
14853,ENSG00000235665,0.40780544197520274,cBoost,pData_Imputed
3520,ENSG00000111846,0.4044807393861546,cBoost,pData_Imputed
1215,ENSG00000076067,0.3999846680938713,cBoost,pData_Imputed
13365,ENSG00000187446,0.3993390990377379,cBoost,pData_Imputed
9891,ENSG00000164684,0.3941005340041882,cBoost,pData_Imputed
245,ENSG00000010704,0.3913996450733178,cBoost,pData_Imputed
4779,ENSG00000123415,0.3895598364350412,cBoost,pData_Imputed
7291,ENSG00000143226,0.3756951189859298,cBoost,pData_Imputed
2581,ENSG00000104081,0.3755161545934436,cBoost,pData_Imputed
13584,ENSG00000189164,0.3702699641758579,cBoost,pData_Imputed
385,ENSG00000023445,0.3657591688093548,cBoost,pData_Imputed
12950,ENSG00000184557,0.36065226871970857,cBoost,pData_Imputed
14126,ENSG00000198682,0.3528350516255331,cBoost,pData_Imputed
4562,ENSG00000120963,0.3502263063535066,cBoost,pData_Imputed
7640,ENSG00000145819,0.3462809571572737,cBoost,pData_Imputed
11219,ENSG00000171450,0.343350262446511,cBoost,pData_Imputed
14270,ENSG00000203857,0.33469335410924184,cBoost,pData_Imputed
12773,ENSG00000183421,0.3177853619411094,cBoost,pData_Imputed
8254,ENSG00000151952,0.3160935301676248,cBoost,pData_Imputed
7457,ENSG00000144306,0.315188219130434,cBoost,pData_Imputed
13163,ENSG00000185896,0.3143699480023789,cBoost,pData_Imputed
1859,ENSG00000096060,0.3120050622583639,cBoost,pData_Imputed
3436,ENSG00000111275,0.30915864952067557,cBoost,pData_Imputed
5390,ENSG00000129295,0.30839481484340026,cBoost,pData_Imputed
3246,ENSG00000109208,0.3073948641328057,cBoost,pData_Imputed
13933,ENSG00000197705,0.3016962633161194,cBoost,pData_Imputed
1557,ENSG00000086991,0.29739695347944584,cBoost,pData_Imputed
1062,ENSG00000071655,0.2967298203773071,cBoost,pData_Imputed
14618,ENSG00000214595,0.29430808930876146,cBoost,pData_Imputed
6637,ENSG00000137965,0.2886592440074669,cBoost,pData_Imputed
6400,ENSG00000136630,0.2872566037027087,cBoost,pData_Imputed
6297,ENSG00000135972,0.2859033138280688,cBoost,pData_Imputed
11210,ENSG00000171408,0.27511894990407804,cBoost,pData_Imputed
1082,ENSG00000072210,0.27474314810232764,cBoost,pData_Imputed
7371,ENSG00000143590,0.2736316615623573,cBoost,pData_Imputed
1606,ENSG00000088325,0.2730200909565349,cBoost,pData_Imputed
13305,ENSG00000186871,0.2707728049314959,cBoost,pData_Imputed
9862,ENSG00000164576,0.2704753641874232,cBoost,pData_Imputed
9136,ENSG00000160766,0.2642608937701004,cBoost,pData_Imputed
4771,ENSG00000123364,0.26133858359625806,cBoost,pData_Imputed
1282,ENSG00000078098,0.2586203553861733,cBoost,pData_Imputed
6092,ENSG00000134815,0.2462408543914708,cBoost,pData_Imputed
15495,ENSG00000275489,0.24573411916470825,cBoost,pData_Imputed
6886,ENSG00000139629,0.23452548677030544,cBoost,pData_Imputed
1919,ENSG00000099810,0.22168047748685626,cBoost,pData_Imputed
11575,ENSG00000173598,0.2214576637332159,cBoost,pData_Imputed
11700,ENSG00000174586,0.2207328766161278,cBoost,pData_Imputed
9474,ENSG00000163202,0.2206254497067645,cBoost,pData_Imputed
2418,ENSG00000102554,0.2205791881298678,cBoost,pData_Imputed
2916,ENSG00000106268,0.21385940472534334,cBoost,pData_Imputed
2411,ENSG00000102468,0.2122508733944925,cBoost,pData_Imputed
3517,ENSG00000111837,0.210528115201368,cBoost,pData_Imputed
6867,ENSG00000139505,0.20586953250789425,cBoost,pData_Imputed
3282,ENSG00000109689,0.20449303257101994,cBoost,pData_Imputed
11417,ENSG00000172572,0.2013901656735742,cBoost,pData_Imputed
3095,ENSG00000107937,0.19899210977617388,cBoost,pData_Imputed
14194,ENSG00000198858,0.19765732657831223,cBoost,pData_Imputed
13738,ENSG00000196628,0.19742800300181548,cBoost,pData_Imputed
7721,ENSG00000146411,0.1933657985724649,cBoost,pData_Imputed
7549,ENSG00000145012,0.18993210253107468,cBoost,pData_Imputed
8198,ENSG00000151491,0.1865582417598182,cBoost,pData_Imputed
9915,ENSG00000164794,0.1728730723476346,cBoost,pData_Imputed
12341,ENSG00000179869,0.16849381438785394,cBoost,pData_Imputed
