"","feature","value","dataset","model_class"
"210","ENSG00000111670",0.000403489547497027,"Intersection","RSF"
"211","ENSG00000111674",5.52143591311394e-05,"Intersection","RSF"
"212","ENSG00000111696",0.00100235298115059,"Intersection","RSF"
"213","ENSG00000111711",8.4945167894146e-06,"Intersection","RSF"
"214","ENSG00000111729",0.000305802604418814,"Intersection","RSF"
"215","ENSG00000111752",8.4945167894146e-06,"Intersection","RSF"
"216","ENSG00000111834",7.64506511046203e-05,"Intersection","RSF"
"217","ENSG00000111885",0.000152901302209352,"Intersection","RSF"
"218","ENSG00000111897",0.000246340986892912,"Intersection","RSF"
"219","ENSG00000111907",3.39780671575474e-05,"Intersection","RSF"
"220","ENSG00000112116",4.24725839465179e-06,"Intersection","RSF"
"221","ENSG00000112139",4.24725839465179e-06,"Intersection","RSF"
"222","ENSG00000112146",0.000106181459867627,"Intersection","RSF"
"223","ENSG00000112159",4.67198423417248e-05,"Intersection","RSF"
"224","ENSG00000112234",5.94616175257912e-05,"Intersection","RSF"
"225","ENSG00000112249",0.000654077792784702,"Intersection","RSF"
"226","ENSG00000112319",0.000305802604418814,"Intersection","RSF"
"227","ENSG00000112343",3.39780671575474e-05,"Intersection","RSF"
"228","ENSG00000112541",0.000365264221944717,"Intersection","RSF"
"229","ENSG00000112562",2.1236291973481e-05,"Intersection","RSF"
"230","ENSG00000112977",4.24725839465179e-06,"Intersection","RSF"
"231","ENSG00000113368",2.97308087628956e-05,"Intersection","RSF"
"232","ENSG00000113460",0.000135912268630523,"Intersection","RSF"
"233","ENSG00000113615",0.000938644105230035,"Intersection","RSF"
"234","ENSG00000113739",9.76869430782124e-05,"Intersection","RSF"
"235","ENSG00000114270",0.000233599211708846,"Intersection","RSF"
"236","ENSG00000114450",0.00112127621620239,"Intersection","RSF"
"237","ENSG00000114738",4.24725839465179e-06,"Intersection","RSF"
"238","ENSG00000115008",0.000101934201472864,"Intersection","RSF"
"239","ENSG00000115107",0.000327038896392295,"Intersection","RSF"
"240","ENSG00000115183",0.000857946195730652,"Intersection","RSF"
"241","ENSG00000115252",0.000199621144551188,"Intersection","RSF"
"242","ENSG00000115255",0.000577627141679971,"Intersection","RSF"
"243","ENSG00000115263",0.000110428718262279,"Intersection","RSF"
"244","ENSG00000115380",0.000819720870178231,"Intersection","RSF"
"245","ENSG00000115488",0.00126143574322768,"Intersection","RSF"
"246","ENSG00000115762",0.000305802604418814,"Intersection","RSF"
"247","ENSG00000115963",0.000220857436524668,"Intersection","RSF"
"248","ENSG00000116039",5.09671007363766e-05,"Intersection","RSF"
"249","ENSG00000116161",0.000420478581075856,"Intersection","RSF"
"250","ENSG00000116194",3.39780671575474e-05,"Intersection","RSF"
"251","ENSG00000116205",4.24725839465179e-06,"Intersection","RSF"
"252","ENSG00000116604",0.000101934201472864,"Intersection","RSF"
"253","ENSG00000116641",0.000178384852577596,"Intersection","RSF"
"254","ENSG00000116774",6.79561343152058e-05,"Intersection","RSF"
"255","ENSG00000116824",8.06979094993832e-05,"Intersection","RSF"
"256","ENSG00000116906",3.39780671575474e-05,"Intersection","RSF"
"257","ENSG00000117054",0.000250588245287564,"Intersection","RSF"
"258","ENSG00000117069",0.00110003992422891,"Intersection","RSF"
"259","ENSG00000117090",8.49451678940349e-05,"Intersection","RSF"
"260","ENSG00000117133",0.000284566312445222,"Intersection","RSF"
"261","ENSG00000117174",0.000152901302209352,"Intersection","RSF"
"262","ENSG00000117500",0.000106181459867627,"Intersection","RSF"
"263","ENSG00000117620",0.000191126627761773,"Intersection","RSF"
"264","ENSG00000117758",3.39780671575474e-05,"Intersection","RSF"
"265","ENSG00000118007",8.91924262887978e-05,"Intersection","RSF"
"266","ENSG00000118260",0.000394995030707612,"Intersection","RSF"
"267","ENSG00000118579",0.000157148560604115,"Intersection","RSF"
"268","ENSG00000118680",0.000271824537261156,"Intersection","RSF"
"269","ENSG00000118777",6.79561343152058e-05,"Intersection","RSF"
"270","ENSG00000118785",2.54835503682438e-05,"Intersection","RSF"
"271","ENSG00000118971",0.000208115661340602,"Intersection","RSF"
"272","ENSG00000118997",0.000454456648233514,"Intersection","RSF"
"273","ENSG00000119396",0.000169890335788181,"Intersection","RSF"
"274","ENSG00000119541",4.24725839465179e-06,"Intersection","RSF"
"275","ENSG00000120526",0.000671066826363531,"Intersection","RSF"
"276","ENSG00000120594",4.67198423417248e-05,"Intersection","RSF"
"277","ENSG00000120688",0.000301555346024052,"Intersection","RSF"
"278","ENSG00000120756",0.000118923235051693,"Intersection","RSF"
"279","ENSG00000120784",0.000174137594182944,"Intersection","RSF"
"280","ENSG00000120915",6.3708875920554e-05,"Intersection","RSF"
"281","ENSG00000121075",1.27417751840664e-05,"Intersection","RSF"
"282","ENSG00000121236",0.000165643077393529,"Intersection","RSF"
"283","ENSG00000121270",2.1236291973481e-05,"Intersection","RSF"
"284","ENSG00000121413",3.39780671575474e-05,"Intersection","RSF"
"285","ENSG00000121552",0.000318544379602881,"Intersection","RSF"
"286","ENSG00000121743",0.000106181459867627,"Intersection","RSF"
"287","ENSG00000121807",2.1236291973481e-05,"Intersection","RSF"
"288","ENSG00000122176",0.000276071795655808,"Intersection","RSF"
"289","ENSG00000122420",0.000203868402945839,"Intersection","RSF"
"290","ENSG00000122741",0.000114675976657042,"Intersection","RSF"
"291","ENSG00000122862",0.0001486540438147,"Intersection","RSF"
"292","ENSG00000123091",1.69890335788292e-05,"Intersection","RSF"
"293","ENSG00000123095",0.000118923235051693,"Intersection","RSF"
"294","ENSG00000123136",8.4945167894146e-06,"Intersection","RSF"
"295","ENSG00000123171",3.82253255523102e-05,"Intersection","RSF"
"296","ENSG00000123342",1.69890335788292e-05,"Intersection","RSF"
"297","ENSG00000123374",0.000165643077393529,"Intersection","RSF"
"298","ENSG00000123575",2.97308087628956e-05,"Intersection","RSF"
"299","ENSG00000123901",0.000114675976657042,"Intersection","RSF"
"300","ENSG00000124164",0.000420478581075856,"Intersection","RSF"
"301","ENSG00000124214",4.24725839465179e-06,"Intersection","RSF"
"302","ENSG00000124226",0.00172013964985596,"Intersection","RSF"
"303","ENSG00000124406",3.39780671575474e-05,"Intersection","RSF"
"304","ENSG00000124659",0.000373758738734131,"Intersection","RSF"
"305","ENSG00000124766",0.000518165524154068,"Intersection","RSF"
"306","ENSG00000124780",9.76869430782124e-05,"Intersection","RSF"
"307","ENSG00000125166",8.4945167894146e-06,"Intersection","RSF"
"308","ENSG00000125249",0.000411984064286441,"Intersection","RSF"
"309","ENSG00000125347",9.34396846834495e-05,"Intersection","RSF"
"310","ENSG00000125363",0.000361016963549954,"Intersection","RSF"
"311","ENSG00000125538",0.000586121658469385,"Intersection","RSF"
"312","ENSG00000125637",1.27417751840664e-05,"Intersection","RSF"
"313","ENSG00000125650",0.000225104694919431,"Intersection","RSF"
"314","ENSG00000125675",0.000713539410310604,"Intersection","RSF"
"315","ENSG00000125676",2.1236291973481e-05,"Intersection","RSF"
"316","ENSG00000125726",0.00024209372849826,"Intersection","RSF"
"317","ENSG00000125772",4.67198423417248e-05,"Intersection","RSF"
"318","ENSG00000125813",0.000161395818998766,"Intersection","RSF"
"319","ENSG00000125815",2.1236291973481e-05,"Intersection","RSF"
"320","ENSG00000125868",0.000203868402945839,"Intersection","RSF"
"321","ENSG00000125903",3.82253255523102e-05,"Intersection","RSF"
"322","ENSG00000125944",1.69890335788292e-05,"Intersection","RSF"
"323","ENSG00000126088",0.000135912268630523,"Intersection","RSF"
"324","ENSG00000126106",1.27417751840664e-05,"Intersection","RSF"
"325","ENSG00000126218",0.000165643077393529,"Intersection","RSF"
"326","ENSG00000126351",0.000361016963549954,"Intersection","RSF"
"327","ENSG00000126603",3.82253255523102e-05,"Intersection","RSF"
"328","ENSG00000126698",0.000135912268630523,"Intersection","RSF"
"329","ENSG00000126752",2.1236291973481e-05,"Intersection","RSF"
"330","ENSG00000126759",7.22033927099686e-05,"Intersection","RSF"
